correct_res,elapsed_task_time,event_type,from_highlighted_to_selected,game_mode,gaze_movement_pr_task,highlighted_cell,index,method,participant,result,target,task_index,timestamp,useLess
True,1.822471618652344,TaskCompleted,1.1601154804229736,chase,864.6877002770628,"(3, 4)",2,blink,p1_real2,"(3, 4)","(3, 4)",0,2025-05-16 09:28:40.138451,False
True,2.907804012298584,TaskCompleted,1.0891780853271484,chase,3183.01435732646,"(3, 5)",6,blink,p1_real2,"(3, 5)","(3, 5)",1,2025-05-16 09:28:44.050035,False
True,2.744718074798584,TaskCompleted,1.2569191455841064,chase,5299.857415768601,"(1, 4)",9,blink,p1_real2,"(1, 4)","(1, 4)",2,2025-05-16 09:28:47.797801,False
True,1.522437334060669,TaskCompleted,1.15559720993042,chase,5903.663816363287,"(1, 3)",11,blink,p1_real2,"(1, 3)","(1, 3)",3,2025-05-16 09:28:50.323282,False
True,1.6396868228912354,TaskCompleted,1.0762245655059814,chase,6893.259332285372,"(1, 5)",14,blink,p1_real2,"(1, 5)","(1, 5)",4,2025-05-16 09:28:52.965906,False
True,1.6380045413970947,TaskCompleted,1.0524990558624268,chase,8039.238650156553,"(2, 3)",16,blink,p1_real2,"(2, 3)","(2, 3)",5,2025-05-16 09:28:55.606591,False
True,1.5518414974212646,TaskCompleted,0.9038195610046388,chase,9359.801096241912,"(3, 3)",19,blink,p1_real2,"(3, 3)","(3, 3)",6,2025-05-16 09:28:58.161058,False
True,1.7083122730255127,TaskCompleted,1.099869966506958,chase,10887.896685441596,"(2, 5)",21,blink,p1_real2,"(2, 5)","(2, 5)",7,2025-05-16 09:29:00.871976,False
True,1.616830587387085,TaskCompleted,1.0102238655090332,chase,12196.853227327789,"(2, 4)",24,blink,p1_real2,"(2, 4)","(2, 4)",8,2025-05-16 09:29:03.489844,False
True,1.745774507522583,TaskCompleted,1.1678235530853271,chase,13259.251345478477,"(3, 4)",27,blink,p1_real2,"(3, 4)","(3, 4)",9,2025-05-16 09:29:06.237672,False
True,1.7076725959777832,TaskCompleted,1.0380313396453855,chase,14701.545567263018,"(3, 5)",30,blink,p1_real2,"(3, 5)","(3, 5)",10,2025-05-16 09:29:08.948061,False
False,1.5730736255645752,TaskCompleted,0.7601754665374756,chase,15846.70204358102,"(1, 3)",34,blink,p1_real2,"(1, 3)","(1, 4)",11,2025-05-16 09:29:11.525467,False
True,3.1027073860168457,TaskCompleted,1.3781390190124512,chase,17562.855162734733,"(1, 3)",37,blink,p1_real2,"(1, 3)","(1, 3)",12,2025-05-16 09:29:15.631726,False
True,1.8051929473876955,TaskCompleted,1.0643072128295898,chase,18973.22517069577,"(1, 5)",40,blink,p1_real2,"(1, 5)","(1, 5)",13,2025-05-16 09:29:18.441117,False
True,2.9112987518310547,TaskCompleted,1.4053573608398438,chase,21456.25370462125,"(2, 3)",44,blink,p1_real2,"(2, 3)","(2, 3)",14,2025-05-16 09:29:22.355184,False
True,1.6021981239318848,TaskCompleted,0.9583265781402588,chase,22469.209077326937,"(3, 3)",47,blink,p1_real2,"(3, 3)","(3, 3)",15,2025-05-16 09:29:24.959679,False
True,1.6266911029815674,TaskCompleted,1.0149335861206057,chase,23431.04506938889,"(2, 5)",50,blink,p1_real2,"(2, 5)","(2, 5)",16,2025-05-16 09:29:27.589854,False
True,1.3749868869781494,TaskCompleted,1.1587073802947998,chase,24025.41274610157,"(2, 4)",52,blink,p1_real2,"(2, 4)","(2, 4)",17,2025-05-16 09:29:29.966540,False
True,1.5782604217529297,TaskCompleted,0.9818222522735596,chase,25163.67797627235,"(3, 4)",55,blink,p1_real2,"(3, 4)","(3, 4)",18,2025-05-16 09:29:32.549182,False
True,2.0674352645874023,TaskCompleted,1.0846402645111084,chase,26432.161094205665,"(3, 5)",58,blink,p1_real2,"(3, 5)","(3, 5)",19,2025-05-16 09:29:35.618871,False
True,1.3554160594940186,TaskCompleted,0.8109302520751953,chase,27402.1256045563,"(1, 4)",60,blink,p1_real2,"(1, 4)","(1, 4)",20,2025-05-16 09:29:37.976840,False
True,2.5054118633270264,TaskCompleted,1.0314116477966309,chase,29118.073986449992,"(1, 3)",63,blink,p1_real2,"(1, 3)","(1, 3)",21,2025-05-16 09:29:41.486450,False
True,1.7147417068481443,TaskCompleted,0.9319024085998536,chase,30690.4913848674,"(1, 5)",66,blink,p1_real2,"(1, 5)","(1, 5)",22,2025-05-16 09:29:44.203206,False
