correct_res,elapsed_task_time,event_type,from_highlighted_to_selected,game_mode,gaze_movement_pr_task,highlighted_cell,index,method,participant,result,target,task_index,timestamp,useLess
,,highlighted_cell,,chase,815.3246718592745,"(2, 3)",0,hotcorner,p2_real2,,"(2, 3)",0,2025-05-16 13:30:24.893738,False
True,1.6533374786376953,TaskCompleted,0.9262654781341553,chase,2369.467865240679,"(2, 3)",1,hotcorner,p2_real2,"(2, 3)","(2, 3)",0,2025-05-16 13:30:25.820004,False
,,highlighted_cell,,chase,3802.87114538497,"(2, 3)",2,hotcorner,p2_real2,,"(3, 5)",1,2025-05-16 13:30:27.039848,False
,,highlighted_cell,,chase,4506.740336067714,"(3, 4)",3,hotcorner,p2_real2,,"(3, 5)",1,2025-05-16 13:30:27.584820,False
,,highlighted_cell,,chase,5128.4012502694495,"(2, 5)",4,hotcorner,p2_real2,,"(3, 5)",1,2025-05-16 13:30:28.669210,False
,,highlighted_cell,,chase,5918.185689385046,"(3, 5)",5,hotcorner,p2_real2,,"(3, 5)",1,2025-05-16 13:30:29.393911,False
,,highlighted_cell,,chase,8257.321559820257,"(2, 4)",6,hotcorner,p2_real2,,"(3, 5)",1,2025-05-16 13:30:31.536108,False
,,highlighted_cell,,chase,8606.829081387568,"(2, 5)",7,hotcorner,p2_real2,,"(3, 5)",1,2025-05-16 13:30:32.402766,False
,,highlighted_cell,,chase,9180.095627973607,"(3, 4)",8,hotcorner,p2_real2,,"(3, 5)",1,2025-05-16 13:30:32.716407,False
,,highlighted_cell,,chase,9904.52332070086,"(3, 5)",9,hotcorner,p2_real2,,"(3, 5)",1,2025-05-16 13:30:34.223329,False
True,8.37706732749939,TaskCompleted,0.975400447845459,chase,10925.648813742095,"(3, 5)",10,hotcorner,p2_real2,"(3, 5)","(3, 5)",1,2025-05-16 13:30:35.198730,False
,,highlighted_cell,,chase,11820.05560833752,"(2, 4)",11,hotcorner,p2_real2,,"(1, 5)",2,2025-05-16 13:30:36.466762,False
,,highlighted_cell,,chase,12203.170531119724,"(1, 4)",12,hotcorner,p2_real2,,"(1, 5)",2,2025-05-16 13:30:36.833908,False
False,1.5766663551330566,TaskCompleted,0.9436490535736084,chase,13032.959670283957,"(1, 4)",13,hotcorner,p2_real2,"(1, 4)","(1, 5)",2,2025-05-16 13:30:37.777557,True
,,highlighted_cell,,chase,13718.683330448674,"(1, 4)",14,hotcorner,p2_real2,,"(3, 4)",3,2025-05-16 13:30:38.980914,False
,,highlighted_cell,,chase,14279.585778896606,"(3, 4)",15,hotcorner,p2_real2,,"(3, 4)",3,2025-05-16 13:30:39.388799,False
,,highlighted_cell,,chase,14480.554881145756,"(3, 3)",16,hotcorner,p2_real2,,"(3, 4)",3,2025-05-16 13:30:39.879421,False
,,highlighted_cell,,chase,14806.818747759953,"(3, 4)",17,hotcorner,p2_real2,,"(3, 4)",3,2025-05-16 13:30:40.766574,False
,,highlighted_cell,,chase,14919.812049573227,"(3, 3)",18,hotcorner,p2_real2,,"(3, 4)",3,2025-05-16 13:30:41.100992,False
,,highlighted_cell,,chase,15207.915146181818,"(3, 4)",19,hotcorner,p2_real2,,"(3, 4)",3,2025-05-16 13:30:41.808851,False
True,4.05581259727478,TaskCompleted,1.0266079902648926,chase,16270.107074627298,"(3, 4)",20,hotcorner,p2_real2,"(3, 4)","(3, 4)",3,2025-05-16 13:30:42.835459,False
,,highlighted_cell,,chase,1028522.234217784,"(3, 4)",21,hotcorner,p2_real2,,"(1, 3)",4,2025-05-16 13:30:44.040422,False
,,highlighted_cell,,chase,1029298.5206866375,"(1, 3)",22,hotcorner,p2_real2,,"(1, 3)",4,2025-05-16 13:30:44.640092,False
True,1.856966257095337,TaskCompleted,1.0558111667633057,chase,1031099.5142112063,"(1, 3)",23,hotcorner,p2_real2,"(1, 3)","(1, 3)",4,2025-05-16 13:30:45.695904,False
,,highlighted_cell,,chase,1032245.82965767,"(2, 4)",24,hotcorner,p2_real2,,"(2, 5)",5,2025-05-16 13:30:46.902038,False
,,highlighted_cell,,chase,1032796.220141135,"(2, 5)",25,hotcorner,p2_real2,,"(2, 5)",5,2025-05-16 13:30:47.767474,False
True,1.7077877521514893,TaskCompleted,0.6391761302947998,chase,1033470.1744021775,"(2, 5)",26,hotcorner,p2_real2,"(2, 5)","(2, 5)",5,2025-05-16 13:30:48.406650,False
,,highlighted_cell,,chase,1034289.7942733995,"(2, 4)",27,hotcorner,p2_real2,,"(2, 4)",6,2025-05-16 13:30:49.608823,False
