correct_res,elapsed_task_time,event_type,from_highlighted_to_selected,game_mode,gaze_movement_pr_task,highlighted_cell,index,method,participant,result,target,task_index,timestamp,useLess
,,highlighted_cell,,chase,938.1307704491222,"(1, 4)",0,head_turn,p3_real,,"(1, 5)",0,2025-05-16 15:10:16.894565,False
,,highlighted_cell,,chase,1382.3415025864476,"(1, 5)",1,head_turn,p3_real,,"(1, 5)",0,2025-05-16 15:10:18.437664,False
,,highlighted_cell,,chase,1598.2727858390756,"(1, 4)",2,head_turn,p3_real,,"(1, 5)",0,2025-05-16 15:10:19.084593,False
,,highlighted_cell,,chase,3416.7378376706693,"(1, 5)",3,head_turn,p3_real,,"(1, 5)",0,2025-05-16 15:10:23.360099,False
True,8.715597152709961,TaskCompleted,1.3765065670013428,chase,3718.9016424292267,"(1, 5)",4,head_turn,p3_real,"(1, 5)","(1, 5)",0,2025-05-16 15:10:24.736606,False
,,highlighted_cell,,chase,4674.509746648748,"(3, 3)",5,head_turn,p3_real,,"(3, 3)",1,2025-05-16 15:10:26.533215,False
True,1.9910173416137695,TaskCompleted,1.1968209743499756,chase,5194.173358451953,"(3, 3)",6,head_turn,p3_real,"(3, 3)","(3, 3)",1,2025-05-16 15:10:27.730036,False
,,highlighted_cell,,chase,6204.428438037242,"(1, 3)",7,head_turn,p3_real,,"(1, 4)",2,2025-05-16 15:10:29.830013,False
,,highlighted_cell,,chase,7084.058145071437,"(1, 4)",8,head_turn,p3_real,,"(1, 4)",2,2025-05-16 15:10:32.237618,False
,,highlighted_cell,,chase,7941.048094652406,"(1, 3)",9,head_turn,p3_real,,"(1, 4)",2,2025-05-16 15:10:34.238132,False
False,5.539076805114746,TaskCompleted,0.032360076904296875,chase,7941.048094652406,"(1, 3)",10,head_turn,p3_real,"(1, 3)","(1, 4)",2,2025-05-16 15:10:34.270492,True
,,highlighted_cell,,chase,8729.706243620492,"(1, 3)",11,head_turn,p3_real,,"(1, 3)",3,2025-05-16 15:10:36.085899,False
,,highlighted_cell,,chase,10762.315754811043,"(2, 3)",12,head_turn,p3_real,,"(1, 3)",3,2025-05-16 15:10:38.788220,False
False,3.862139940261841,TaskCompleted,0.3465244770050049,chase,11180.621965679184,"(2, 3)",13,head_turn,p3_real,"(2, 3)","(1, 3)",3,2025-05-16 15:10:39.134744,True
,,highlighted_cell,,chase,12949.640322886456,"(3, 4)",14,head_turn,p3_real,,"(3, 5)",4,2025-05-16 15:10:41.519222,False
,,highlighted_cell,,chase,14050.85528921486,"(3, 5)",15,head_turn,p3_real,,"(3, 5)",4,2025-05-16 15:10:43.941573,False
True,5.7772908210754395,TaskCompleted,1.971503734588623,chase,14961.976452696512,"(3, 5)",16,head_turn,p3_real,"(3, 5)","(3, 5)",4,2025-05-16 15:10:45.913076,False
,,highlighted_cell,,chase,15987.057154956376,"(2, 5)",17,head_turn,p3_real,,"(2, 5)",5,2025-05-16 15:10:47.845456,False
True,2.3593902587890625,TaskCompleted,1.4295334815979004,chase,16462.86800090719,"(2, 5)",18,head_turn,p3_real,"(2, 5)","(2, 5)",5,2025-05-16 15:10:49.274989,False
,,highlighted_cell,,chase,17157.94519219963,"(3, 4)",19,head_turn,p3_real,,"(3, 4)",6,2025-05-16 15:10:51.079843,False
True,1.7331838607788086,TaskCompleted,0.9311892986297607,chase,17445.549865134504,"(3, 4)",20,head_turn,p3_real,"(3, 4)","(3, 4)",6,2025-05-16 15:10:52.011032,False
,,highlighted_cell,,chase,17994.977687592593,"(2, 3)",21,head_turn,p3_real,,"(2, 4)",7,2025-05-16 15:10:53.586053,False
,,highlighted_cell,,chase,18824.928339218983,"(2, 4)",22,head_turn,p3_real,,"(2, 4)",7,2025-05-16 15:10:55.759416,False
True,4.564104795455933,TaskCompleted,1.8177292346954346,chase,19330.090480035924,"(2, 4)",23,head_turn,p3_real,"(2, 4)","(2, 4)",7,2025-05-16 15:10:57.577145,False
,,highlighted_cell,,chase,19910.16319941855,"(2, 3)",24,head_turn,p3_real,,"(2, 3)",8,2025-05-16 15:10:59.244931,False
True,3.567267417907715,TaskCompleted,2.9013264179229736,chase,21314.893383775398,"(2, 3)",25,head_turn,p3_real,"(2, 3)","(2, 3)",8,2025-05-16 15:11:02.146258,False
,,highlighted_cell,,chase,22327.897897932125,"(1, 4)",26,head_turn,p3_real,,"(1, 5)",9,2025-05-16 15:11:03.927971,False
,,highlighted_cell,,chase,23416.656208372857,"(1, 5)",27,head_turn,p3_real,,"(1, 5)",9,2025-05-16 15:11:06.037538,False
True,4.598519325256348,TaskCompleted,1.7094485759735107,chase,24193.54528131263,"(1, 5)",28,head_turn,p3_real,"(1, 5)","(1, 5)",9,2025-05-16 15:11:07.746987,False
,,highlighted_cell,,chase,25111.58479189039,"(3, 3)",29,head_turn,p3_real,,"(3, 3)",10,2025-05-16 15:11:09.646986,False
,,highlighted_cell,,chase,26050.237816378878,"(2, 3)",30,head_turn,p3_real,,"(3, 3)",10,2025-05-16 15:11:11.337811,False
,,highlighted_cell,,chase,26670.90810626809,"(3, 3)",31,head_turn,p3_real,,"(3, 3)",10,2025-05-16 15:11:12.182340,False
True,4.223467588424683,TaskCompleted,0.7912025451660156,chase,26964.020063099506,"(3, 3)",32,head_turn,p3_real,"(3, 3)","(3, 3)",10,2025-05-16 15:11:12.973542,False
,,highlighted_cell,,chase,27984.216843436974,"(2, 4)",33,head_turn,p3_real,,"(1, 4)",11,2025-05-16 15:11:14.989147,False
,,highlighted_cell,,chase,28405.75658062095,"(1, 3)",34,head_turn,p3_real,,"(1, 4)",11,2025-05-16 15:11:15.921963,False
,,highlighted_cell,,chase,28921.79945758582,"(1, 4)",35,head_turn,p3_real,,"(1, 4)",11,2025-05-16 15:11:17.267928,False
