correct_res,elapsed_task_time,event_type,from_highlighted_to_selected,game_mode,gaze_movement_pr_task,highlighted_cell,index,method,participant,result,target,task_index,timestamp,useLess,error_rate
True,3.2331247329711914,TaskCompleted,1.557614803314209,memory,219101.3185870406,"(3, 3)",169,blink,p4_real,"(3, 3)","(3, 3)",34,2025-05-20 10:48:29.655782,False,0
True,4.2790138721466064,TaskCompleted,1.222038745880127,memory,220058.139009152,"(3, 4)",118,head_turn,p6_real,"(3, 4)","(3, 4)",34,2025-05-20 17:38:14.643558,False,0
True,3.633193731307984,TaskCompleted,1.2328262329101562,memory,197185.9554700853,"(2, 3)",156,blink,p8_real,"(2, 3)","(2, 3)",34,2025-05-21 16:53:23.870755,False,0
True,7.5549232959747314,TaskCompleted,2.2169060707092285,chase,125740.2937611802,"(2, 3)",147,head_turn,p3_real,"(2, 3)","(2, 3)",35,2025-05-16 15:14:14.969554,False,0
True,1.8522255420684808,TaskCompleted,1.2470276355743408,chase,85088.37384433464,"(2, 4)",110,blink,p1_real2,"(2, 4)","(2, 4)",35,2025-05-16 09:30:33.105721,False,0
True,1.7889723777770996,TaskCompleted,0.8803038597106934,chase,1151779.2578772835,"(1, 4)",127,hotcorner,p2_real2,"(1, 4)","(1, 4)",35,2025-05-16 13:32:27.402264,False,0
True,3.632768392562866,TaskCompleted,0.7554430961608887,memory,231491.6326393129,"(1, 4)",157,hotcorner,p5_real,"(1, 4)","(1, 4)",35,2025-05-20 16:48:08.414088,False,0
True,2.6214821338653564,TaskCompleted,2.1025705337524414,chase,129652.4643879496,"(2, 4)",128,blink,p7_real,"(2, 4)","(2, 4)",35,2025-05-21 16:02:41.894220,False,0
False,1.7574670314788818,TaskCompleted,0.296410322189331,chase,139188.88821316458,"(1, 5)",217,head_turn,p6_real,"(1, 5)","(1, 4)",71,2025-05-20 17:45:13.276654,False,1
False,2.278559446334839,TaskCompleted,0.271357774734497,memory,287378.0467158073,"(3, 4)",312,hotcorner,p2_real2,"(3, 4)","(2, 4)",71,2025-05-16 13:37:51.308789,False,1
True,4.532827615737915,TaskCompleted,1.072291374206543,memory,264771.8303599161,"(2, 3)",294,hotcorner,p7_real,"(2, 3)","(2, 3)",71,2025-05-21 16:09:03.017012,False,0
True,4.903841257095337,TaskCompleted,0.7358994483947754,chase,105154.80939270408,"(3, 5)",278,hotcorner,p8_real,"(3, 5)","(3, 5)",71,2025-05-21 16:57:33.958694,False,0
