start,target,elapsed_task_time,method,game_mode,D,W,ID
"(3, 4)","(3, 5)",2.907804012298584,blink,chase,256.0,255.0,1.0
"(3, 5)","(1, 4)",2.744718074798584,blink,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",1.522437334060669,blink,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",1.6396868228912354,blink,chase,512.0,255.0,1.59
"(1, 5)","(2, 3)",1.6380045413970947,blink,chase,587.44,261.89,1.7
"(2, 3)","(3, 3)",1.5518414974212646,blink,chase,288.0,288.0,1.0
"(3, 3)","(2, 5)",1.7083122730255127,blink,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.616830587387085,blink,chase,256.0,255.0,1.0
"(2, 4)","(3, 4)",1.745774507522583,blink,chase,288.0,288.0,1.0
"(3, 4)","(3, 5)",1.7076725959777832,blink,chase,256.0,255.0,1.0
"(3, 5)","(1, 3)",1.5730736255645752,blink,chase,770.66,271.94,1.94
"(1, 3)","(1, 5)",1.8051929473876955,blink,chase,512.0,255.0,1.59
"(1, 5)","(2, 3)",2.9112987518310547,blink,chase,587.44,261.89,1.7
"(2, 3)","(3, 3)",1.6021981239318848,blink,chase,288.0,288.0,1.0
"(3, 3)","(2, 5)",1.6266911029815674,blink,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.3749868869781494,blink,chase,256.0,255.0,1.0
"(2, 4)","(3, 4)",1.5782604217529297,blink,chase,288.0,288.0,1.0
"(3, 4)","(3, 5)",2.0674352645874023,blink,chase,256.0,255.0,1.0
"(3, 5)","(1, 4)",1.3554160594940186,blink,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",2.5054118633270264,blink,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",1.7147417068481443,blink,chase,512.0,255.0,1.59
"(1, 5)","(2, 3)",1.5096430778503418,blink,chase,587.44,261.89,1.7
"(2, 3)","(3, 3)",1.7850213050842283,blink,chase,288.0,288.0,1.0
"(3, 3)","(2, 4)",1.535191535949707,blink,chase,385.33,271.94,1.27
"(2, 4)","(3, 4)",1.5774993896484375,blink,chase,288.0,288.0,1.0
"(3, 4)","(3, 5)",3.5892603397369385,blink,chase,256.0,255.0,1.0
"(3, 5)","(1, 4)",1.8065519332885744,blink,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",3.23169469833374,blink,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",5.39152717590332,blink,chase,512.0,255.0,1.59
"(1, 5)","(2, 3)",1.7092666625976562,blink,chase,587.44,261.89,1.7
"(2, 3)","(3, 3)",4.754494428634644,blink,chase,288.0,288.0,1.0
